id,nombre,cantidad,precio_oferta,precio,precioPorKilo,categoria
414866,RICOTTA VALCOLATTE ,G 250 ,<nil>,1.39,5.5600,Gastronomia
414956,OLIVE ALL'ASCOLANA COAL," GR 200",1.43,2.39,7.1500,Surgelati
414968,MOZZARELLINE IMPANANTE COAL ,GR200,1.67,2.39,8.3500,Surgelati
414977,GLI CHAMPIGNON,LA VALLE DEGLI ORTI,<nil>,2.99,4.9800,Surgelati
415195,OLIO EXTRA VERGINE DI OLIVA,IL CASOLARE,<nil>,8.99,8.9900,Alimentari
415311,CASSERUOLA 2 MANIGLIE 24 CM ,25 PUNTI + 15.90€,<nil>,15.90,<nil>,Casa e cucina
414671,RADICCHIO ROSSO ORTOROMI,G 175,<nil>,1.19,6.8000,Ortofrutta
414801,COPPA STAGIONATA,ARTIGIANI CARNI,<nil>,1.89,18.9000,Gastronomia
415008,VINO COAL ,BIANCO/ROSSO,1.43,1.79,<nil>,Bevande
415031,BIRRA NEW YORKER,LATTINA CL 50,<nil>,0.89,<nil>,Bevande
415205,DETERSIVO LAVATRICE,OMINO BIANCO,<nil>,3.79,0.0000,Igiene casa
415282,OLIO EXTRA VERGINE D'OLIVA SAPIO,L 1 ,<nil>,6.49,<nil>,Alimentari
415306,PADELLA 28 CM,20 PUNTI + 10.90€,<nil>,10.90,<nil>,Casa e cucina
414676,ARANCE MORO COAL ,AL KG ,<nil>,0.99,<nil>,Ortofrutta
414681,ARISTA TRANCI DI SUINO,AL KG,<nil>,6.90,0.0000,Macelleria
414714,CIAUSCOLO IGP ,,<nil>,1.79,17.9000,Gastronomia
414885,WURSTEL POLLO E TACCHINO COAL ,G 250 ,0.83,1.39,3.3200,Self service
414922,ALICI MARINATE BLUE SHARK ,MARINARA/CIPOLLA ,<nil>,3.99,19.9500,Self service
415019,SPRITE/FANTA/COCA COLA ,VARI TIPI ,<nil>,0.69,0.0000,Bevande
415278,VINO GOTTO D'ORO ,BIANCO AMABILE/ROSATO IGP/BIANCO SECCO IGT,<nil>,3.69,<nil>,Bevande
414661,NOCCIOLE SGUSCIATE ,G 200 ,<nil>,3.89,19.4500,Ortofrutta
414700,COTOLETTA CON SPINACIMARTINI,G 1000 ,<nil>,4.59,4.5900,Macelleria
415091,PASTA INTEGRALE,BARILLA,<nil>,0.99,1.9800,Alimentari
415284,AMMORBIDENTE CONCENTARTO COAL ,LAVANDA/PRIMAVERA ,1.25,1.79,<nil>,Igiene casa
414673,NOCI ,AL KG,<nil>,4.99,0.0000,Ortofrutta
414756,ACETO BALSAMICO DI MODENA IGP DE NIGRIS ,ML 500 ,<nil>,3.99,<nil>,Alimentari
415021,BIRRA BECKì'S ,CL 33X3 ,<nil>,2.49,0.0000,Bevande
415036,VERDICCHIO DEI CASTELLI DI JESI DOC I SASSI UMANI RONCHI ,CL 75,<nil>,5.69,0.0000,Bevande
415041,VINO TURA' FRIZZANTE BIANCO IGT LAMBERTI ,CL 75,<nil>,2.99,0.0000,Bevande
415046,CAMOMILLA CON MELATONINA,SOGNI D'ORO PLUS,<nil>,2.99,46.7200,Alimentari
415063,CREMA SPALMABILE COAL ,NOCCIOLA E CACAO/BICOLORE ,2.39,2.99,5.9800,Alimentari
415190,FUNGHI TRIFOLATI MONTELLO ,G 180 ,<nil>,1.39,7.7200,Alimentari
414669,MIX VERDURE DA CUOCERE COAL ,BUSTA G 500 ,<nil>,1.49,2.9800,Ortofrutta
414665,CUORE DI ICEBERG,ORTOROMI,<nil>,0.89,0.0000,Self service
414793,RUSTICO STAGIONATO SAL.PICENO,,<nil>,1.69,16.9000,Gastronomia
414794,CACIOTTA FRESCO FIORE ,,<nil>,1.29,12.9000,Gastronomia
414830,FIOR DI LATTE VALLE VERDE,X3 G 500,<nil>,3.99,7.9800,Self service
415272,FAZZOLETTI NATURE ALOE VERA NICKY,4 VELI X 10 PACCHETI ,<nil>,1.00,0.0000,Casa e cucina
415719,PASTA DI SEMOLA,DIVELLA,<nil>,0.59,1.1800,Alimentari
414675,BANANE CHIQUITA ,AL KG ,<nil>,1.79,0.0000,Ortofrutta
414716,SPECK ALTO ADIGE IGP,ALL'ETTO,<nil>,1.99,19.9000,Gastronomia
414837,MOZZARELLA VALLELATA ,CIUFFO G 180 ,<nil>,2.29,12.7200,Gastronomia
415189,OLIO DI SEMI DI GIRASOLE GIGLIO ORO,L 1,<nil>,2.29,<nil>,Alimentari
415198,DETERSIVO PIATTI CONCENTRATO,SVELTO,0.83,1.19,<nil>,Igiene casa
415211,CARTA FORNO COAL,MT 8,0.77,1.29,<nil>,Igiene casa
414674,PATATE DEL FUCINO IGP ,"KG 1,5",<nil>,1.99,1.3300,Ortofrutta
414719,MORTADELLA BOLOGNA IGP,4 CASTELLI,<nil>,1.19,11.9000,Gastronomia
414911,PETALI SPECK/BACON NEGRONI,X2 G 100,<nil>,2.59,25.9000,Gastronomia
415113,TONNO MAREBLU LEGGERO,ALL'OLIO DI OLIVA,<nil>,2.59,14.3900,Alimentari
415128,FARINA GRANO TENERO COAL ,TIPO 0/00 ,0.55,0.79,<nil>,Alimentari
414708,SPIEDINI DI POLLO MARTINI ,AL KG ,<nil>,10.90,<nil>,Macelleria
414873,BEVANDE MILK PRO ,VARI TIPI ,<nil>,1.79,5.1100,Bevande
414942,PROSCIUTTO CRUDO AFFETTATO,COAL ,2.39,2.99,23.9000,Self service
415224,SAPONE LIQUIDO ,COAL,1.19,1.69,0.0000,Igiene persona
415684,KETCHUP MATO MATO,CLASSICO/PICCANTE,<nil>,1.69,4.3300,Alimentari
415014,SUCCHI I TRIANGOLINI VALFRUTTA ,PERA/PESCA ,<nil>,2.25,2.8100,Bevande
414668,BIETOLA COAL ,BUSTA G 500 ,<nil>,1.49,2.9800,Ortofrutta
414659,CARCIOFO VIOLETTO ,,<nil>,0.69,0.0000,Ortofrutta
414660,MELE PINK LADY ,AL KG,<nil>,2.29,<nil>,Ortofrutta
414895,PANNA DA CUCINA UHT COAL ,ML 200 ,0.92,1.15,4.6000,Gastronomia
414932,SALMONE FETTE NORVEGESE RE SALMONE ,G 90 ,<nil>,3.19,35.4400,Self service
415011,ACQUA LEVISSIMA ,NATURALE/FRIZZANTE ,<nil>,0.37,<nil>,Bevande
415192,FUNGHI TRIFOLATI,PUCCI,<nil>,2.29,16.3600,Alimentari
414679,POLPA SCELTA DI SCOTTONA ,AL KG ,<nil>,13.90,0.0000,Macelleria
414690,PETTO DI POLLO A FETTE FILENI SENZA USO DI ANTIBIOTICI ,AL KG ,<nil>,11.99,0.0000,Macelleria
415079,TARALLI CLASSICI,COAL,0.97,1.39,3.8800,Alimentari
415229,SHAMPOO/BALSAMO FRUCTS GARNIER ,VARI TIPI ,<nil>,2.19,<nil>,Igiene persona
415279,BUSCOTTI GRAN CEREALE ,VARI TIPI,<nil>,1.49,<nil>,Alimentari
414678,FETTINE DI SCOTTONA PER PIZZAIOLA ,AL KG ,<nil>,15.90,0.0000,Macelleria
414803,PANCETTA AFFUMICATA,LEONCINI,<nil>,1.79,17.9000,Gastronomia
414805,SALMONE NORVEGESE AFFUMICATO A FETTE L'INEDITO  ,,<nil>,4.29,42.9000,Self service
414839,PRIMOSALE COAL,G 200,2.20,2.75,11.0000,Self service
414870,GALBANINO GALBANI ,G 270,<nil>,2.99,11.0700,Gastronomia
415082,PATATINE GRIGLIATE COAL ,G 170 ,0.95,1.95,5.5900,Alimentari
415108,FILONE PROTEICO ,FORNO DI FERRENTILLO ,<nil>,1.99,7.9600,Alimentari
415117,FILETTI DI SGOMBRO COAL,ALL'OLIO D'OLIVA,1.32,1.89,14.6700,Alimentari
414970,PATATE KID SMILE,MC CAIN,<nil>,2.69,4.1400,Surgelati
415039,GRAPPA SANDRO BOTTEGA ,CL 70 ,<nil>,13.99,<nil>,Bevande
415277,SPUMANTE PECORINO/PASSERINA BRUT CITRA,CL 75,<nil>,5.99,<nil>,Bevande
415307,SALTAPASTA JUMP 26 CM ,20 PUNTI + 12.90€,<nil>,12.90,<nil>,Casa e cucina
415668,DANONE DUO,VARI TIPI,<nil>,0.69,7.6700,Self service
414652,PASTA ALL'UOVO COAL,VARI FORMATI,0.90,1.29,3.6000,Alimentari
414658,CUORI DI CARCIOFI A SPICCHI OROGEL ,G 300 ,1.49,2.99,4.9700,Surgelati
414672,FINOCCHI ,AL KG,<nil>,1.49,0.0000,Ortofrutta
414728,TRENTINGRANA,FORMAGGIO DOP,<nil>,1.59,15.9000,Gastronomia
414841,ROBIOLA COAL ,G 100,1.11,1.59,11.1000,Gastronomia
414981,BISCOTTO,MAXIBON,<nil>,3.49,9.0900,Surgelati
415068,TAVOLETTA CIOCCOLATO NOVI,LATTE/FONDENTE ,<nil>,1.19,11.9000,Alimentari
414692,HAMBURGER DI POLLO FILENI ,G 400 ,<nil>,3.99,9.9800,Macelleria
415215,SGRASSATORE MARSIGLIA,COAL,0.92,1.85,<nil>,Igiene casa
415286,DENTIFRICIO MENTADENT PROTEZIONE FAMIGLIA ,IGEINE/BIANCO,<nil>,1.49,<nil>,Igiene persona
415304,PADELLA 20 CM ,"10 PUNTI + 8,90€",<nil>,8.90,<nil>,Casa e cucina
414664,LIMONI SIRACUSA IGP ,RETE G 500 ,<nil>,0.99,1.9800,Ortofrutta
414731,MOZZARELLA DI BUFALA CAMPANA DOP FRANCIA ,G 125X3,<nil>,4.99,13.3100,Gastronomia
414732,SQUACQUERONE DI ROMAGNA DOP COMELLINI,G 280 ,<nil>,2.89,10.3200,Gastronomia
414811,BACCALA' SALATO,SECCO,<nil>,1.89,18.9000,Self service
414823,MOZZARELLA SANTA LUCIA GALBANI ,G 125X3 ,<nil>,2.99,7.9700,Gastronomia
414843,FIOCCHI DI LATTE KEFIR MILK ,G 150 ,<nil>,1.39,9.2700,Self service
414888,LATTE PS UHT PARMALAT ,L 1 ,<nil>,0.99,0.0000,Bevande
415027,BIRRA PERONI NASTRO AZZURRO ,CL 62,<nil>,1.19,0.0000,Bevande
414657,PASSATA DI POMODORO ,COAL,0.79,0.99,1.1600,Alimentari
414662,POMODORO DATTERINO ,G 250 ,<nil>,1.19,4.7600,Ortofrutta
414670,BONDUELLE MIX ALLEGRA ,BUSTA G 125,<nil>,1.79,14.3200,Ortofrutta
414891,LATTE UHT PS ZYMIL ,BUONO DIGERIBILE PARMALAT,<nil>,1.79,<nil>,Bevande
414972,MINESTRONE TRADIZIONE IGP/DOP FINDUS ,,<nil>,2.99,<nil>,Surgelati
415043,BISCOTTI COAL ,VARI TIPI ,1.00,1.69,<nil>,Alimentari
415055,TE' YELLOW LABEL/ VERDE LIPTON,25 FILTRI ,<nil>,1.99,30.6200,Alimentari
415131,POMODORI PELATI ,COAL,0.53,0.89,1.3300,Alimentari
414726,RICOTTA ROMANA DOP ,,<nil>,0.89,8.9000,Gastronomia
415037,VINO TRENTACOSTE ,MONTEPULCIANO DOC/PECORINO IGT,<nil>,4.49,<nil>,Bevande
415064,NUTELLA,VASO G 950,<nil>,6.89,7.2500,Alimentari
415186,ORZO PERLATO,COAL,0.99,1.99,1.9800,Alimentari
415213,CANDEGGINA PROFUMATA,COAL,1.19,1.49,<nil>,Igiene casa
415281,RISO ORIGINARIO COAL ,KG 1 ,1.99,2.49,<nil>,Alimentari
414868,PASTA SFOGLIA STUFFER ,ROTONDA ,<nil>,0.99,4.3000,Self service
415135,RISO FINE RIBE,COAL,1.81,2.59,1.8100,Alimentari
415216,SGRASSATORE,WINNI'S,<nil>,1.69,<nil>,Igiene casa
415280,BISCOTTI CLASSICI MULINO BIANCO ,VARI TIPI,<nil>,1.59,<nil>,Alimentari
415305,PADELLA 24 CM ,15 PUNTI + 9.90€,<nil>,9.90,<nil>,Casa e cucina
