id,nombre,precio_oferta,precio
404965,FALERIO PECORINO DOC,4.39,6.55
404960,BIBITE SAN BERNARDO,0.57,0.85
404684,ANANAS,<nil>,1.49
404779,PROSCIUTTO CRUDO NAZIONALE GUALERZI,<nil>,2.39
404833,VALLE' NATURALMENTE ,<nil>,1.39
404888,GRAN ANTIPASTO AFFETATTO NEGRONI,3.34,4.99
405012,FECOLA DI PATATE PANEANGELI ,<nil>,0.99
405927,FILETTI DI SGOMBRO RIO MARE ,<nil>,1.99
404694,PICANHA DI BOVINO ADULTO,<nil>,18.90
404977,BIRRA KOZEL ,<nil>,1.19
405026,TE' YELLOW LABEL LIPTON,<nil>,2.99
405926,FILETTI DI TONNO MORO,5.35,7.79
406017,DIALBRODO DIALCOS,<nil>,2.89
406069,PANNI CATTURA POLVERE,1.47,2.19
406175,CARTA FORNO,<nil>,1.39
406234,COPERCHIO 24 CM,<nil>,5.90
404676,LATTUGA ROMANA,<nil>,1.29
404764,RICOTTA DI PECORA MARUSELLA ,<nil>,0.70
404928,SUGO PRONTO ALLO SCOGLIO,<nil>,3.99
404930,GELATI NUII ,<nil>,3.99
404961,BIRRA HEINEKEN,<nil>,2.99
405015,CARAMELLE,<nil>,1.09
405030,CAMOMILLA SOLUBILE MELATONINA MAGNESIO ,<nil>,2.99
405923,TONNO,<nil>,2.99
404697,ZUCCHINE RIPIENE ,<nil>,10.90
404703,COTOLETTA LA VIENNESE AIA ,<nil>,3.49
404837,MUU MUU CAMEO ,<nil>,2.29
404929,COPPA ORO SAMMONTANA ,2.87,4.45
404943,SPUMANTE BLANC DE BLANCS MILLESIMATO,<nil>,4.89
404993,MIELE LIQUIDO AMBROSOLI ,<nil>,2.69
405989,PASSATA DI POMODORO JOLLY COLOMBANI ,0.52,0.79
406021,MISTO FUNGHI CON PORCINI NERI,2.67,3.99
404865,LATTE ACCADI UHT GRANAROLO,1.33,1.99
406019,INSALATINA ACETELLI,1.27,1.89
406026,CARCIOFI TAGLIATI NERI ,2.87,4.29
406142,DOCCIA FELCE AZZURRA ,1.33,1.99
406180,SACCHI NETTEZZA CON MANICI SUPER BAG ,1.13,1.69
406231,BISTECCHIERA 28X28 CM,<nil>,15.90
404687,PASSATO DI ZUCCA ORTOROMI ,<nil>,2.29
404688,INSALATA POKER 4 GUSTI COAL ,<nil>,0.89
